t	f1	f2	f3	f4
31.5289	0.0174614313413	0.00747670790347	0.00917234256887	0.000472213378503
31.6316	-0.0117130806451	0.00888188165066	0.0156629403549	0.000562749071872
31.7343	0.0691236402181	0.0303846992032	0.022805049632	0.000653374768853
31.837	0.037266964901	0.0567289618738	0.029580288073	0.000739218661468
31.9397	0.113085197686	0.0414964883455	0.0346395745947	0.00081521162921
32.0424	-0.112246948495	0.0287816527139	0.0381374399626	0.000878266988246
32.1451	0.16857240628	0.0481760163473	0.0403216101563	0.000926143366639
32.2478	-0.0266589045444	0.0422940955505	0.0405435850369	0.000956637475562
32.3505	0.0578003857758	0.0360097217497	0.039321706857	0.000969728926398
32.4532	0.0802060323193	0.033269389034	0.0371974877562	0.000966401196603
32.5559	-0.0814931529172	0.0266142077598	0.0344850947977	0.000948256292802
32.6586	0.138413906324	0.0294469213334	0.0316553735834	0.000917701613259
32.7613	-0.0778279074035	0.0326953860025	0.0289111727635	0.00087729205708
32.864	0.163495894969	0.050533003552	0.0264090577941	0.000829711995151
32.9667	-0.00224528838825	0.0324585271946	0.0235085697436	0.000776814971297
33.0694	0.0202228997984	0.00475323255726	0.0206212146618	0.000721309643183
33.1721	-0.0832717798318	0.0048962055573	0.0183736874477	0.000665801162371
33.2748	0.128025373321	0.0208250743848	0.016581962918	0.000611691911638
33.3775	-0.133565791086	0.0173274007163	0.0147119258408	0.000559626045632
33.4802	0.223138383974	0.0153479367454	0.0130560999	0.000510690998298
33.5829	-0.17736290963	0.00724123165159	0.0117296714416	0.000465455497453
33.6856	0.185062968989	0.0272476628439	0.0109876805231	0.000424341191207
33.7883	-0.0537461129333	0.00798847484864	0.00991640295017	0.000386384567211
33.891	-0.088366482948	-0.0035285266158	0.00898783722695	0.000351865706864
33.9937	0.126788156897	0.0108953535875	0.00840402879103	0.000320711788736
34.0964	-0.114704883027	0.00119926286249	0.00758980692607	0.000292039408437
34.1991	0.10554647683	0.0145910122449	0.00704535871611	0.000266048157791
34.3018	0.042475921536	0.0211973316389	0.00640150621765	0.000242099363259
34.4045	-0.0613216461523	-0.0029957942914	0.00535602769155	0.000219667650321
34.5072	0.0268153952539	-0.0037265734276	0.00464848945522	0.000199321626192
34.6099	-0.0346387832133	0.00557736454188	0.00421068920798	0.000180863026417
34.7126	0.0150041126988	0.00307796808705	0.00369196306137	0.000163840215458
34.8153	0.0252059092624	0.00430646445279	0.00327559453259	0.000148357694781
34.918	-0.0046329943262	0.0093609370077	0.00300637078411	0.000134390433994
35.0207	0.0455494467614	0.00553295623757	0.00264691859266	0.000121628199857
35.1234	-0.0570301778945	-0.00675328519831	0.00219147092947	0.000109987057559
35.2261	0.00172545395991	-0.00451527139735	0.00200462352978	9.97462489099e-05
35.3288	0.0133598323742	0.0115400821228	0.00205010019797	9.07722792683e-05
