31.5289	-0.5	113.5
31.6316	0.5	295.5
31.7343	-0.5	550.5
31.837	13.5	921.5
31.9397	23.5	1512.5
32.0424	48.5	2233.5
32.1451	100.5	3449.5
32.2478	220.5	4509.5
32.3505	302.5	4961.5
32.4532	462.5	5605.5
32.5559	715.5	6273.5
32.6586	883.5	6124.5
32.7613	1182.5	5479.5
32.864	1486.5	4601.5
32.9667	1684.5	3553.5
33.0694	1837.5	2558.5
33.1721	1909.5	1657.5
33.2748	1974.5	1011.5
33.3775	1934.5	588.5
33.4802	1977.5	353.5
33.5829	1838.5	249.5
33.6856	1830.5	182.5
33.7883	1595.5	133.5
33.891	1610.5	113.5
33.9937	1450.5	120.5
34.0964	1309.5	106.5
34.1991	1199.5	121.5
34.3018	1034.5	112.5
34.4045	1018.5	88.5
34.5072	845.5	94.5
34.6099	786.5	67.5
34.7126	769.5	98.5
34.8153	666.5	84.5
34.918	633.5	71.5
35.0207	574.5	71.5
35.1234	464.5	69.5
35.2261	467.5	42.5
35.3288	438.5	39.5
35.4315	401.5	54.5
35.5342	359.5	45.5
35.6369	318.5	31.5
35.7396	270.5	28.5
35.8423	234.5	27.5
35.945	224.5	17.5
36.0477	241.5	17.5
36.1504	197.5	16.5
36.2531	155.5	14.5
36.3558	150.5	9.5
36.4585	156.5	6.5
36.5612	117.5	10.5
36.6639	116.5	17.5
36.7666	103.5	4.5
36.8693	106.5	4.5
36.972	92.5	2.5
37.0747	89.5	1.5
37.1774	54.5	0.5
37.2801	80.5	10.5
37.3828	69.5	-1.5
37.4855	45.5	0.5
37.5882	35.5	4.5
37.6909	43.5	6.5
37.7936	42.5	1.5
37.8963	25.5	8.5
37.999	43.5	2.5
38.1017	24.5	0.5
38.2044	32.5	-0.5
38.3071	17.5	4.5
38.4098	18.5	3.5
38.5125	24.5	-2.5
38.6152	22.5	2.5
38.7179	10.5	1.5
38.8206	19.5	3.5
38.9233	14.5	-2.5
39.026	9.5	2.5
39.1287	10.5	-0.5
39.2314	6.5	4.5
39.3341	11.5	-3.5
39.4368	1.5	-4.5
39.5395	5.5	1.5
39.6422	5.5	1.5
39.7449	1.5	2.5
39.8476	11.5	-2.5
39.9503	1.5	0.5
